R4,R3,R2b,R2
AuditEvent.source,AuditEvent.source,AuditEvent.source,AuditEvent.source
AuditEvent.subtype,AuditEvent.subtype,AuditEvent.subtype,AuditEvent.subtype
AuditEvent.type,AuditEvent.type,AuditEvent.type,AuditEvent.type
,AuditEvent.user,AuditEvent.user,AuditEvent.user
,,,AuditEvent.desc
,,,AuditEvent.participant
Basic,Basic,Basic,Basic
Basic.author,Basic.author,Basic.author,Basic.author
Basic.code,Basic.code,Basic.code,Basic.code
Basic.created,Basic.created,Basic.created,Basic.created
Basic.identifier,Basic.identifier,Basic.identifier,Basic.identifier
Basic.patient,Basic.patient,Basic.patient,Basic.patient
Basic.subject,Basic.subject,Basic.subject,Basic.subject
,Binary,Binary,Binary
,Binary.contenttype,Binary.contenttype,Binary.contenttype
BodyStructure,BodySite,BodySite,BodySite
BodyStructure.location,BodySite.code,BodySite.code,BodySite.code
BodyStructure.identifier,BodySite.identifier,BodySite.identifier,BodySite.identifier
BodyStructure.morphology,,,
BodyStructure.patient,BodySite.patient,BodySite.patient,BodySite.patient
Bundle,Bundle,Bundle,Bundle
Bundle.composition,Bundle.composition,Bundle.composition,Bundle.composition
Bundle.identifier,Bundle.identifier,,
Bundle.message,Bundle.message,Bundle.message,Bundle.message
Bundle.timestamp,,,
Bundle.type,Bundle.type,Bundle.type,Bundle.type
CapabilityStatement,CapabilityStatement,Conformance,Conformance
CapabilityStatement.context,,Conformance.context,
CapabilityStatement.context-quantity,,,
CapabilityStatement.context-type,,,
CapabilityStatement.context-type-quantity,,,
CapabilityStatement.context-type-value,,,
CapabilityStatement.date,CapabilityStatement.date,Conformance.date,Conformance.date
CapabilityStatement.description,CapabilityStatement.description,Conformance.description,Conformance.description
,CapabilityStatement.event,Conformance.event,Conformance.event
CapabilityStatement.fhirversion,CapabilityStatement.fhirversion,Conformance.fhirversion,Conformance.fhirversion
CapabilityStatement.format,CapabilityStatement.format,Conformance.format,Conformance.format
CapabilityStatement.guide,CapabilityStatement.guide,,
CapabilityStatement.jurisdiction,CapabilityStatement.jurisdiction,,
CapabilityStatement.mode,CapabilityStatement.mode,Conformance.mode,Conformance.mode
CapabilityStatement.name,CapabilityStatement.name,Conformance.name,Conformance.name
CapabilityStatement.publisher,CapabilityStatement.publisher,Conformance.publisher,Conformance.publisher
CapabilityStatement.resource,CapabilityStatement.resource,Conformance.resource,Conformance.resource
CapabilityStatement.resource-profile,CapabilityStatement.resource-profile,Conformance.resourceprofile,Conformance.profile
CapabilityStatement.security-service,CapabilityStatement.security-service,Conformance.securityservice,Conformance.security
CapabilityStatement.software,CapabilityStatement.software,Conformance.software,Conformance.software
CapabilityStatement.status,CapabilityStatement.status,Conformance.status,Conformance.status
CapabilityStatement.supported-profile,CapabilityStatement.supported-profile,Conformance.supported-profile,Conformance.supported-profile
CapabilityStatement.title,CapabilityStatement.title,,
CapabilityStatement.url,CapabilityStatement.url,Conformance.url,Conformance.url
CapabilityStatement.version,CapabilityStatement.version,Conformance.version,Conformance.version
CarePlan,CarePlan,CarePlan,CarePlan
CarePlan.activity-code,CarePlan.activity-code,CarePlan.activitycode,CarePlan.activitycode
CarePlan.activity-date,CarePlan.activity-date,CarePlan.activitydate,CarePlan.activitydate
CarePlan.activity-reference,CarePlan.activity-reference,CarePlan.activityreference,CarePlan.activityreference
CarePlan.based-on,CarePlan.based-on,,
CarePlan.care-team,CarePlan.care-team,,
CarePlan.category,CarePlan.category,,
CarePlan.condition,CarePlan.condition,CarePlan.condition,CarePlan.condition
CarePlan.encounter,CarePlan.encounter,,
,CarePlan.context,,
CarePlan.date,CarePlan.date,CarePlan.date,CarePlan.date
CarePlan.goal,CarePlan.goal,CarePlan.goal,CarePlan.goal
CarePlan.identifier,CarePlan.identifier,,
CarePlan.instantiates-canonical,CarePlan.definition,,
CarePlan.instantiates-uri,,,
CarePlan.intent,CarePlan.intent,,
CarePlan.part-of,CarePlan.part-of,,
,,CarePlan.participant,CarePlan.participant
CarePlan.patient,CarePlan.patient,CarePlan.patient,CarePlan.patient
CarePlan.performer,CarePlan.performer,CarePlan.performer,CarePlan.performer
CarePlan.replaces,CarePlan.replaces,,
,,CarePlan.related,CarePlan.related
,,CarePlan.relatedcode,CarePlan.relatedcode
,,CarePlan.relatedplan,CarePlan.relatedplan
CarePlan.status,CarePlan.status,,
CarePlan.subject,CarePlan.subject,CarePlan.subject,CarePlan.subject
CareTeam,CareTeam,CareTeam,
CareTeam.category,CareTeam.category,,
,CareTeam.context,,
CareTeam.date,CareTeam.date,CareTeam.date,
CareTeam.encounter,CareTeam.encounter,,
CareTeam.identifier,CareTeam.identifier,CareTeam.identifier,
CareTeam.participant,CareTeam.participant,CareTeam.participant,
CareTeam.patient,CareTeam.patient,CareTeam.patient,
CareTeam.status,CareTeam.status,CareTeam.status,
CareTeam.subject,CareTeam.subject,CareTeam.subject,
,,CareTeam.type,
ChargeItem,ChargeItem,,
ChargeItem.account,ChargeItem.account,,
ChargeItem.code,ChargeItem.code,,
ChargeItem.context,ChargeItem.context,,
ChargeItem.entered-date,ChargeItem.entered-date,,
ChargeItem.enterer,ChargeItem.enterer,,
ChargeItem.factor-override,ChargeItem.factor-override,,
ChargeItem.identifier,ChargeItem.identifier,,
ChargeItem.occurrence,ChargeItem.occurrence,,
ChargeItem.performer-actor,ChargeItem.participant-actor,,
ChargeItem.performer-function,ChargeItem.participant-role,,
ChargeItem.patient,ChargeItem.patient,,
ChargeItem.performing-organization,ChargeItem.performing-organization,,
ChargeItem.price-override,ChargeItem.price-override,,
ChargeItem.quantity,ChargeItem.quantity,,
ChargeItem.requesting-organization,ChargeItem.requesting-organization,,
ChargeItem.service,ChargeItem.service,,
ChargeItem.subject,ChargeItem.subject,,
ChargeItemDefinition,,,
ChargeItemDefinition.context,,,
ChargeItemDefinition.context-quantity,,,
ChargeItemDefinition.context-type,,,
ChargeItemDefinition.context-type-quantity,,,
ChargeItemDefinition.context-type-value,,,
ChargeItemDefinition.date,,,
ChargeItemDefinition.description,,,
ChargeItemDefinition.effective,,,
ChargeItemDefinition.identifier,,,
ChargeItemDefinition.jurisdiction,,,
ChargeItemDefinition.publisher,,,
ChargeItemDefinition.status,,,
ChargeItemDefinition.title,,,
ChargeItemDefinition.url,,,
ChargeItemDefinition.version,,,
Claim,Claim,Claim,Claim
Claim.care-team,Claim.care-team,,
Claim.created,Claim.created,Claim.created,
Claim.detail-udi,,,
Claim.encounter,Claim.encounter,,
Claim.enterer,Claim.enterer,,
Claim.facility,Claim.facility,Claim.facilityidentifier,Claim.identifier
,,Claim.facilityreference,
Claim.identifier,Claim.identifier,Claim.identifier,
Claim.insurer,Claim.insurer,Claim.organizationidentifier,
,Claim.organization,Claim.organizationreference,
Claim.item-udi,,,
Claim.patient,Claim.patient,Claim.patientidentifier,Claim.patient
,,Claim.patientreference,
Claim.payee,Claim.payee,,
Claim.priority,Claim.priority,Claim.priority,Claim.priority
Claim.procedure-udi,,,
Claim.provider,Claim.provider,Claim.provideridentifier,Claim.provider
,,Claim.providerreference,
,,Claim.targetidentifier,
,,Claim.targetreference,
Claim.status,,,
Claim.subdetail-udi,,,
Claim.use,Claim.use,Claim.use,Claim.use
ClaimResponse,ClaimResponse,ClaimResponse,ClaimResponse
ClaimResponse.created,ClaimResponse.created,ClaimResponse.created,
ClaimResponse.disposition,ClaimResponse.disposition,ClaimResponse.disposition,
ClaimResponse.identifier,ClaimResponse.identifier,ClaimResponse.identifier,ClaimResponse.identifier
ClaimResponse.insurer,ClaimResponse.insurer,ClaimResponse.organizationidentifier,
,,ClaimResponse.organizationreference,
ClaimResponse.outcome,ClaimResponse.outcome,ClaimResponse.outcome,
ClaimResponse.patient,ClaimResponse.patient,,
ClaimResponse.payment-date,ClaimResponse.payment-date,ClaimResponse.paymentdate,
ClaimResponse.request,ClaimResponse.request,ClaimResponse.requestidentifier,
,,ClaimResponse.requestreference,
ClaimResponse.requestor,ClaimResponse.request-provider,,
ClaimResponse.status,,,
ClaimResponse.use,,,
ClinicalImpression,ClinicalImpression,ClinicalImpression,ClinicalImpression
,ClinicalImpression.action,ClinicalImpression.action,ClinicalImpression.action
ClinicalImpression.assessor,ClinicalImpression.assessor,ClinicalImpression.assessor,ClinicalImpression.assessor
,ClinicalImpression.context,,
ClinicalImpression.date,ClinicalImpression.date,ClinicalImpression.date,ClinicalImpression.date
ClinicalImpression.encounter,,,
ClinicalImpression.finding-code,ClinicalImpression.finding-code,ClinicalImpression.finding,ClinicalImpression.finding
ClinicalImpression.finding-ref,ClinicalImpression.finding-ref,,
ClinicalImpression.identifier,ClinicalImpression.identifier,,
ClinicalImpression.investigation,ClinicalImpression.investigation,ClinicalImpression.investigation,ClinicalImpression.investigation
ClinicalImpression.patient,ClinicalImpression.patient,ClinicalImpression.patient,ClinicalImpression.patient
ClinicalImpression.previous,ClinicalImpression.previous,ClinicalImpression.previous,ClinicalImpression.previous
,,ClinicalImpression.plan,ClinicalImpression.plan
ClinicalImpression.problem,ClinicalImpression.problem,ClinicalImpression.problem,ClinicalImpression.problem
,,ClinicalImpression.resolved,ClinicalImpression.resolved
,,ClinicalImpression.ruledout,ClinicalImpression.ruledout
ClinicalImpression.status,ClinicalImpression.status,ClinicalImpression.status,ClinicalImpression.status
ClinicalImpression.subject,ClinicalImpression.subject,,
,,ClinicalImpression.trigger,ClinicalImpression.trigger
,,ClinicalImpression.trigger-code,ClinicalImpression.trigger-code
ClinicalImpression.supporting-info,,,
CodeSystem,CodeSystem,CodeSystem,
CodeSystem.code,CodeSystem.code,CodeSystem.code,
CodeSystem.content-mode,CodeSystem.content-mode,,
CodeSystem.context,,CodeSystem.context,
CodeSystem.context-quantity,,,
CodeSystem.context-type,,,
CodeSystem.context-type-quantity,,,
CodeSystem.context-type-value,,,
CodeSystem.date,CodeSystem.date,CodeSystem.date,
CodeSystem.description,CodeSystem.description,CodeSystem.description,
CodeSystem.identifier,CodeSystem.identifier,CodeSystem.identifier,
CodeSystem.jurisdiction,CodeSystem.jurisdiction,,
CodeSystem.language,CodeSystem.language,CodeSystem.language,
CodeSystem.name,CodeSystem.name,CodeSystem.name,
CodeSystem.publisher,CodeSystem.publisher,CodeSystem.publisher,
CodeSystem.status,CodeSystem.status,CodeSystem.status,
CodeSystem.supplements,,,
CodeSystem.system,CodeSystem.system,CodeSystem.system,
CodeSystem.title,CodeSystem.title,,
CodeSystem.url,CodeSystem.url,CodeSystem.url,
CodeSystem.version,CodeSystem.version,CodeSystem.version,
Communication,Communication,Communication,Communication
Communication.based-on,Communication.based-on,,
Communication.category,Communication.category,Communication.category,Communication.category
Communication.encounter,Communication.context,Communication.encounter,Communication.encounter
,Communication.encounter,,
Communication.identifier,Communication.identifier,Communication.identifier,Communication.identifier
Communication.instantiates-canonical,Communication.definition,,
Communication.instantiates-uri,,,
Communication.medium,Communication.medium,Communication.medium,Communication.medium
Communication.part-of,Communication.part-of,,
Communication.patient,Communication.patient,Communication.patient,Communication.patient
Communication.received,Communication.received,Communication.received,Communication.received
Communication.recipient,Communication.recipient,Communication.recipient,Communication.recipient
,,Communication.request,Communication.request
Communication.sender,Communication.sender,Communication.sender,Communication.sender
Communication.sent,Communication.sent,Communication.sent,Communication.sent
Communication.status,Communication.status,Communication.status,Communication.status
Communication.subject,Communication.subject,Communication.subject,Communication.subject
CommunicationRequest,CommunicationRequest,CommunicationRequest,CommunicationRequest
CommunicationRequest.authored,CommunicationRequest.authored,,
CommunicationRequest.based-on,CommunicationRequest.based-on,,
CommunicationRequest.category,CommunicationRequest.category,CommunicationRequest.category,CommunicationRequest.category
CommunicationRequest.encounter,CommunicationRequest.context,CommunicationRequest.encounter,CommunicationRequest.encounter
,CommunicationRequest.encounter,,
CommunicationRequest.group-identifier,CommunicationRequest.group-identifier,,
CommunicationRequest.identifier,CommunicationRequest.identifier,CommunicationRequest.identifier,CommunicationRequest.identifier
CommunicationRequest.medium,CommunicationRequest.medium,CommunicationRequest.medium,CommunicationRequest.medium
CommunicationRequest.occurrence,CommunicationRequest.occurrence,,
CommunicationRequest.patient,CommunicationRequest.patient,CommunicationRequest.patient,CommunicationRequest.patient
CommunicationRequest.priority,CommunicationRequest.priority,CommunicationRequest.priority,CommunicationRequest.priority
CommunicationRequest.recipient,CommunicationRequest.recipient,CommunicationRequest.recipient,CommunicationRequest.recipient
,,CommunicationRequest.requested,CommunicationRequest.requested
CommunicationRequest.replaces,CommunicationRequest.replaces,,
CommunicationRequest.requester,CommunicationRequest.requester,CommunicationRequest.requester,CommunicationRequest.requester
CommunicationRequest.sender,CommunicationRequest.sender,CommunicationRequest.sender,CommunicationRequest.sender
CommunicationRequest.status,CommunicationRequest.status,CommunicationRequest.status,CommunicationRequest.status
CommunicationRequest.subject,CommunicationRequest.subject,CommunicationRequest.subject,CommunicationRequest.subject
,,CommunicationRequest.time,CommunicationRequest.time
CompartmentDefinition,CompartmentDefinition,CompartmentDefinition,
CompartmentDefinition.code,CompartmentDefinition.code,CompartmentDefinition.code,
CompartmentDefinition.context,,,
CompartmentDefinition.context-quantity,,,
CompartmentDefinition.context-type,,,
CompartmentDefinition.context-type-quantity,,,
CompartmentDefinition.context-type-value,,,
CompartmentDefinition.date,CompartmentDefinition.date,CompartmentDefinition.date,
CompartmentDefinition.description,CompartmentDefinition.description,,
,CompartmentDefinition.jurisdiction,,
CompartmentDefinition.name,CompartmentDefinition.name,CompartmentDefinition.name,
CompartmentDefinition.publisher,CompartmentDefinition.publisher,,
CompartmentDefinition.resource,CompartmentDefinition.resource,CompartmentDefinition.resource,
CompartmentDefinition.status,CompartmentDefinition.status,CompartmentDefinition.status,
,CompartmentDefinition.title,,
CompartmentDefinition.url,CompartmentDefinition.url,CompartmentDefinition.url,
CompartmentDefinition.version,,,
Composition,Composition,Composition,Composition
Composition.attester,Composition.attester,Composition.attester,Composition.attester
Composition.author,Composition.author,Composition.author,Composition.author
Composition.category,Composition.class,Composition.class,Composition.class
Composition.confidentiality,Composition.confidentiality,Composition.confidentiality,Composition.confidentiality
Composition.context,Composition.context,Composition.context,Composition.context
Composition.date,Composition.date,Composition.date,Composition.date
Composition.encounter,Composition.encounter,Composition.encounter,Composition.encounter
Composition.entry,Composition.entry,Composition.entry,Composition.entry
Composition.identifier,Composition.identifier,Composition.identifier,Composition.identifier
Composition.patient,Composition.patient,Composition.patient,Composition.patient
Composition.period,Composition.period,Composition.period,Composition.period
Composition.related-id,Composition.related-id,,
Composition.related-ref,Composition.related-ref,,
Composition.section,Composition.section,Composition.section,Composition.section
Composition.status,Composition.status,Composition.status,Composition.status
Composition.subject,Composition.subject,Composition.subject,Composition.subject
Composition.title,Composition.title,Composition.title,Composition.title
Composition.type,Composition.type,Composition.type,Composition.type
ConceptMap,ConceptMap,ConceptMap,ConceptMap
ConceptMap.context,,ConceptMap.context,ConceptMap.context
ConceptMap.context-quantity,,,
ConceptMap.context-type,,,
ConceptMap.context-type-quantity,,,
ConceptMap.context-type-value,,,
ConceptMap.date,ConceptMap.date,ConceptMap.date,ConceptMap.date
ConceptMap.dependson,ConceptMap.dependson,ConceptMap.dependson,ConceptMap.dependson
ConceptMap.description,ConceptMap.description,ConceptMap.description,ConceptMap.description
ConceptMap.identifier,ConceptMap.identifier,ConceptMap.identifier,ConceptMap.identifier
ConceptMap.jurisdiction,ConceptMap.jurisdiction,,
ConceptMap.name,ConceptMap.name,ConceptMap.name,ConceptMap.name
ConceptMap.other,ConceptMap.other,,
ConceptMap.product,ConceptMap.product,ConceptMap.product,ConceptMap.product
ConceptMap.publisher,ConceptMap.publisher,ConceptMap.publisher,ConceptMap.publisher
ConceptMap.source,ConceptMap.source,ConceptMap.source,ConceptMap.source
ConceptMap.source-code,ConceptMap.source-code,ConceptMap.source-code,ConceptMap.sourcecode
ConceptMap.source-system,ConceptMap.source-system,ConceptMap.source-system,ConceptMap.sourcesystem
ConceptMap.source-uri,ConceptMap.source-uri,ConceptMap.source-uri,ConceptMap.sourceuri
ConceptMap.status,ConceptMap.status,ConceptMap.status,ConceptMap.status
ConceptMap.target,ConceptMap.target,ConceptMap.target,ConceptMap.target
ConceptMap.target-code,ConceptMap.target-code,ConceptMap.target-code,ConceptMap.targetcode
ConceptMap.target-system,ConceptMap.target-system,ConceptMap.target-system,ConceptMap.targetsystem
ConceptMap.target-uri,ConceptMap.target-uri,,
ConceptMap.title,ConceptMap.title,,
ConceptMap.url,ConceptMap.url,ConceptMap.url,ConceptMap.url
ConceptMap.version,ConceptMap.version,ConceptMap.version,ConceptMap.version
Condition,Condition,Condition,Condition
Condition.abatement-age,Condition.abatement-age,Condition.age,Condition.age
Condition.abatement-date,Condition.abatement-boolean,,
Condition.abatement-string,Condition.abatement-date,,
,Condition.abatement-string,,
,Condition.asserted-date,,
Condition.asserter,Condition.asserter,Condition.asserter,Condition.asserter
Condition.body-site,Condition.body-site,Condition.body-site,Condition.body-site
Condition.category,Condition.category,Condition.category,Condition.category
Condition.clinical-status,Condition.clinical-status,Condition.clinicalstatus,Condition.clinicalstatus
Condition.code,Condition.code,Condition.code,Condition.code
Condition.encounter,Condition.context,Condition.encounter,Condition.encounter
,Condition.encounter,,
Condition.evidence,Condition.evidence,Condition.evidence,Condition.evidence
Condition.evidence-detail,Condition.evidence-detail,,
Condition.identifier,Condition.identifier,Condition.identifier,Condition.identifier
Condition.onset-age,Condition.onset-age,,
Condition.onset-date,Condition.onset-date,Condition.onset,Condition.onset
Condition.onset-info,Condition.onset-info,Condition.onset-info,Condition.onset-info
Condition.patient,Condition.patient,Condition.patient,Condition.patient
Condition.recorded-date,Condition.severity,Condition.date-recorded,Condition.date-recorded
Condition.severity,Condition.stage,Condition.severity,Condition.severity
Condition.stage,Condition.subject,Condition.stage,Condition.stage
Condition.subject,Condition.verification-status,,
Condition.verification-status,,,
Consent,Consent,,
Consent.action,Consent.action,,
Consent.actor,Consent.actor,,
Consent.category,Consent.category,,
Consent.consentor,Consent.consentor,,
Consent.data,Consent.data,,
Consent.date,Consent.date,,
Consent.identifier,Consent.identifier,,
Consent.organization,Consent.organization,,
Consent.patient,Consent.patient,,
Consent.period,Consent.period,,
Consent.purpose,Consent.purpose,,
Consent.scope,,,
Consent.security-label,Consent.securitylabel,,
Consent.source-reference,Consent.source,,
Consent.status,Consent.status,,
Contract,Contract,Contract,Contract
,Contract.agent,Contract.agent,Contract.actor
Contract.authority,Contract.authority,Contract.authority,
Contract.domain,Contract.domain,Contract.domain,
Contract.identifier,Contract.identifier,Contract.identifier,Contract.identifier
Contract.instantiates,,,
Contract.issued,Contract.issued,Contract.issued,
Contract.patient,Contract.patient,Contract.patient,Contract.patient
Contract.signer,Contract.signer,Contract.signer,Contract.signer
Contract.status,,,
Contract.subject,Contract.subject,Contract.subject,Contract.subject
Contract.url,,,
,Contract.term-topic,Contract.topic,
,,Contract.ttopic,
Coverage,Coverage,Coverage,Coverage
Coverage.beneficiary,Coverage.beneficiary,Coverage.beneficiaryidentifier,
,,Coverage.beneficiaryreference,
Coverage.class-type,Coverage.class,,
Coverage.class-value,,,
Coverage.dependent,Coverage.dependent,Coverage.dependent,Coverage.dependent
,Coverage.group,Coverage.group,Coverage.group
Coverage.identifier,Coverage.identifier,Coverage.identifier,Coverage.identifier
Coverage.patient,,,
,,Coverage.issueridentifier,Coverage.issuer
,,Coverage.issuerreference,
Coverage.payor,Coverage.payor,,
,Coverage.plan,Coverage.plan,Coverage.plan
Coverage.policy-holder,Coverage.policy-holder,Coverage.planholderidentifier,
,,Coverage.planholderreference,
,Coverage.sequence,Coverage.sequence,Coverage.sequence
,Coverage.subplan,Coverage.subplan,Coverage.subplan
,Coverage.subclass,Coverage.type,Coverage.type
Coverage.status,,,
,Coverage.subgroup,,
Coverage.subscriber,Coverage.subscriber,,
Coverage.type,Coverage.type,,
CoverageEligibilityRequest,,,
CoverageEligibilityRequest.created,,,
CoverageEligibilityRequest.enterer,,,
CoverageEligibilityRequest.facility,,,
CoverageEligibilityRequest.identifier,,,
CoverageEligibilityRequest.patient,,,
CoverageEligibilityRequest.provider,,,
CoverageEligibilityRequest.status,,,
CoverageEligibilityResponse,,,
CoverageEligibilityResponse.created,,,
CoverageEligibilityResponse.disposition,,,
CoverageEligibilityResponse.identifier,,,
CoverageEligibilityResponse.insurer,,,
CoverageEligibilityResponse.outcome,,,
CoverageEligibilityResponse.patient,,,
CoverageEligibilityResponse.request,,,
CoverageEligibilityResponse.requestor,,,
CoverageEligibilityResponse.status,,,
,DataElement,DataElement,DataElement
,DataElement.code,DataElement.code,DataElement.code
,,DataElement.context,DataElement.context
,DataElement.date,DataElement.date,DataElement.date
,DataElement.description,DataElement.description,DataElement.description
,DataElement.identifier,DataElement.identifier,DataElement.identifier
,DataElement.jurisdiction,,
,DataElement.name,DataElement.name,DataElement.name
,DataElement.objectClass,DataElement.objectClass,DataElement.objectClass
,DataElement.objectClassProperty,DataElement.objectClassProperty,DataElement.objectClassProperty
,DataElement.publisher,DataElement.publisher,DataElement.publisher
,DataElement.status,DataElement.status,DataElement.status
